max_depth,reproduction,mutation_probability,leaf_inner_swap_probability,crossover_probability,succesion,accuracy,min_score,max_score,std_dev
5,tournament_2,0.4,0.3,0.0,elite_2,0.9228131868131868,0.8571428571428571,0.978021978021978,0.024191287632983907
5,tournament_2,0.4,0.3,0.4,generational,0.9088351648351649,0.8351648351648352,0.967032967032967,0.027667651622171347
5,tournament_2,0.4,0.3,0.4,elite_2,0.9238681318681319,0.8461538461538461,0.967032967032967,0.023732521663356185
5,tournament_2,0.8,0.0,0.0,generational,0.8979340659340659,0.7912087912087912,0.967032967032967,0.03209335028917432
5,tournament_2,0.8,0.0,0.0,elite_2,0.9110329670329671,0.8461538461538461,0.967032967032967,0.02693280539568442
5,tournament_2,0.8,0.0,0.4,generational,0.8944175824175824,0.7362637362637363,0.956043956043956,0.03328734851267044
5,tournament_2,0.8,0.0,0.4,elite_2,0.9126153846153846,0.8351648351648352,0.967032967032967,0.026400789509437545
5,tournament_2,0.8,0.3,0.0,generational,0.9041758241758242,0.7912087912087912,0.956043956043956,0.029690672716714907
5,tournament_2,0.8,0.3,0.0,elite_2,0.9226373626373626,0.8461538461538461,0.978021978021978,0.022778749213166548
5,tournament_2,0.8,0.3,0.4,generational,0.9052307692307693,0.8241758241758241,0.956043956043956,0.025683090358756225
5,tournament_2,0.8,0.3,0.4,elite_2,0.9247472527472528,0.8681318681318682,0.978021978021978,0.022200925650930688
20,proportional,0.4,0.0,0.0,generational,0.8872087912087911,0.7362637362637363,0.967032967032967,0.03875524661765756
20,proportional,0.4,0.0,0.0,elite_2,0.9054065934065935,0.8021978021978022,0.978021978021978,0.03012362647465261
20,proportional,0.4,0.0,0.4,generational,0.8822857142857142,0.7252747252747253,0.967032967032967,0.04666034265510037
20,proportional,0.4,0.0,0.4,elite_2,0.9118241758241759,0.8351648351648352,0.978021978021978,0.02810210894951058
20,proportional,0.4,0.3,0.0,generational,0.8992527472527473,0.7912087912087912,0.967032967032967,0.03040806927808147
20,proportional,0.4,0.3,0.0,elite_2,0.9150769230769231,0.8461538461538461,0.967032967032967,0.023658543838485868
20,proportional,0.4,0.3,0.4,generational,0.895032967032967,0.8131868131868132,0.956043956043956,0.03049505637718025
20,proportional,0.4,0.3,0.4,elite_2,0.9152527472527473,0.8241758241758241,0.967032967032967,0.02766032938084307
20,proportional,0.8,0.0,0.0,generational,0.8802637362637362,0.7362637362637363,0.967032967032967,0.041770926635461315
20,proportional,0.8,0.0,0.0,elite_2,0.9078681318681319,0.8021978021978022,0.967032967032967,0.03154143190228301
20,proportional,0.8,0.0,0.4,generational,0.8821978021978022,0.7362637362637363,0.967032967032967,0.03848938071605231
20,proportional,0.8,0.0,0.4,elite_2,0.9131428571428571,0.8021978021978022,0.989010989010989,0.028513561774755485
20,proportional,0.8,0.3,0.0,generational,0.8966153846153846,0.8241758241758241,0.956043956043956,0.024297011845128485
20,proportional,0.8,0.3,0.0,elite_2,0.9171868131868132,0.8351648351648352,0.967032967032967,0.028174097602250727
20,proportional,0.8,0.3,0.4,generational,0.8974945054945054,0.8241758241758241,0.945054945054945,0.022188639872950902
20,proportional,0.8,0.3,0.4,elite_2,0.9194725274725275,0.8351648351648352,0.989010989010989,0.026727800306042233
20,rank_0.05,0.4,0.0,0.0,generational,0.8817582417582418,0.6813186813186813,0.967032967032967,0.046190124328634924
20,rank_0.05,0.4,0.0,0.0,elite_2,0.9017142857142858,0.8021978021978022,0.956043956043956,0.027607043948665727
20,rank_0.05,0.4,0.0,0.4,generational,0.8761318681318682,0.6923076923076923,0.967032967032967,0.041713814311102
20,rank_0.05,0.4,0.0,0.4,elite_2,0.9048791208791209,0.8351648351648352,0.967032967032967,0.027280577207215974
20,rank_0.05,0.4,0.3,0.0,generational,0.8929230769230769,0.7802197802197802,0.967032967032967,0.0333168256028795
20,rank_0.05,0.4,0.3,0.0,elite_2,0.9113846153846155,0.8241758241758241,0.978021978021978,0.026507106389726455
20,rank_0.05,0.4,0.3,0.4,generational,0.8889670329670329,0.7912087912087912,0.967032967032967,0.03203284694589319
20,rank_0.05,0.4,0.3,0.4,elite_2,0.9122637362637362,0.8461538461538461,0.978021978021978,0.026146070175795233
20,rank_0.05,0.8,0.0,0.0,generational,0.8666373626373627,0.7142857142857143,0.956043956043956,0.049878880689902705
20,rank_0.05,0.8,0.0,0.0,elite_2,0.901010989010989,0.8131868131868132,0.956043956043956,0.027824613745949994
20,rank_0.05,0.8,0.0,0.4,generational,0.8658461538461539,0.6483516483516484,0.967032967032967,0.05255889208765146
20,rank_0.05,0.8,0.0,0.4,elite_2,0.9040879120879122,0.8131868131868132,0.967032967032967,0.029120243717694217
20,rank_0.05,0.8,0.3,0.0,generational,0.8957362637362637,0.8241758241758241,0.967032967032967,0.026575793734494247
20,rank_0.05,0.8,0.3,0.0,elite_2,0.9113846153846155,0.8241758241758241,0.967032967032967,0.026470341396207134
20,rank_0.05,0.8,0.3,0.4,generational,0.8939780219780219,0.7472527472527473,0.967032967032967,0.02901571508237957
20,rank_0.05,0.8,0.3,0.4,elite_2,0.913934065934066,0.8461538461538461,0.967032967032967,0.02408121735691308
20,truncation_0.8,0.4,0.0,0.0,generational,0.8938021978021977,0.8131868131868132,0.967032967032967,0.028971646811556756
20,truncation_0.8,0.4,0.0,0.0,elite_2,0.9090109890109891,0.7912087912087912,0.967032967032967,0.030275318756561524
